usokter..e.1	osökter..av.1
over..e.1	ivir..pp.1
over_löpa..e.1	ivir_löpa..vb.1
u_vither..e.1	ovighþer..av.1
panninger..e.1	pænninger..nn.1
penninger..e.1	pænninger..nn.1
pig..e.1	piker..nn.1
pighiz_dagher..e.1	pingizdagher..nn.1
plumpa..e.1	humpa..vb.1
proaster..e.1	provaster..nn.1
prove..e.1	pröva..vb.1
præster..e.1	prester..nn.1
pyndara_vikt..e.1	pundari..nn.1
pænter..e.1	pæna..vb.1
qvaster..e.1	qvæster..nn.1
qvenna..e.1	qvinna..nn.1
qveþia..e.1	qvæþia..nn.1
qvindilmæssa..e.1	kyndilmæssa..nn.1
qvister..e.1	qvæster..nn.1
qviþgrind..e.1	qviggrind..nn.1
rana..e.1	ræna..vb.1
rant..e.1	rinna..vb.1
reddughi..e.1	ræddughe..nn.1
reka..e.1	ræka..vb.1
retlosa..e.1	rætlösa..nn.1
reþ..e.1	reþe..nn.1
reþopænningar..e.1	reþer..av.1
rist..e.1	rift..nn.1
riuka..e.1	ryka..vb.1
riuva..e.1	ryva..vb.1
roppa..e.1	rumpa..nn.1
rova_ryþia..e.1	rofna_ryþia..nn.1
royna..e.1	röna..vb.1
rundit..e.1	rinda..vb.1
runnin..e.1	rinna..vb.1
rutin..e.1	roten..av.1
ruvin..e.1	ryva..vb.1
ryftæ..e.1	rypta..vb.1
rykta..e.1	rökta..vb.1
rynþiuver..e.1	runþiuver..nn.1
rydskogher..e.1	ruþ_skogher..nn.1
ræffr..e.1	ræver..nn.1
rætt..e.1	ræt..ab.1
ræva_ungær..e.1	ræf_unge..nn.1
röghta..e.1	rökta..vb.1
röt..e.1	riuþa..vb.1
sakia..e.1	sækia..vb.1
sakæghande..e.1	saka_æghandi..nn.1
sald..e.1	sæld..nn.1
samvare..e.1	samværa..nn.1
sannandæ..e.1	sannindi..nn.1
sarþ..e.1	særþa..vb.1
sat..e.2	sander..av.1
satt..e.1	sætia..vb.1
schott..e.1	skot..nn.1
seia..e.1	sea..vb.1
sele..e.1	sili..nn.1
